x1;y1;x2;y2
1;1;38;54
69;1;113;54
137;1;183;54
212;1;223;54
254;1;302;54
331;1;374;54
403;1;447;54
474;1;502;54
530;1;563;54
593;1;626;54
651;1;692;54
716;1;748;54
778;1;820;54
846;1;883;54
908;1;960;54
987;1;1015;54
1044;1;1089;54
1116;1;1146;54
1174;1;1207;54
1235;1;1291;54
1320;1;1354;54
1383;1;1415;54
1440;1;1472;54
1501;1;1524;54
1551;1;1579;54
1606;1;1659;54
1684;1;1715;54
1745;1;1775;54
1804;1;1848;54
1873;1;1941;54
