x1;y1;x2;y2
0;0;26;38
49;0;80;38
99;0;131;38
153;0;160;38
183;0;217;38
239;0;270;38
291;0;322;38
342;0;362;38
383;0;406;38
428;0;451;38
470;0;499;38
517;0;540;38
561;0;591;38
611;0;637;38
656;0;693;38
712;0;732;38
753;0;785;38
805;0;827;38
848;0;871;38
891;0;931;38
953;0;977;38
998;0;1021;38
1040;0;1063;38
1083;0;1099;38
1120;0;1140;38
1159;0;1197;38
1216;0;1238;38
1260;0;1281;38
1302;0;1334;38
1352;0;1401;38
