Letter;W;H;Q1;Q2;Q3;Q4;Q1_rel;Q2_rel;Q3_rel;Q4_rel;cx;cy;cx_rel;cy_rel;Ix;Iy;Ix_norm;Iy_norm
U1048A_𐒊;42;54;249;49;164;208;0.43915343915343913;0.08641975308641975;0.2892416225749559;0.36684303350970016;20.54776119402985;27.050746268656717;0.48923240938166307;0.5009397457158651;167714.2746268657;55419.97164179105;73.9480928689884;24.435613598673303
U1048B_𐒋;33;54;158;210;197;206;0.36574074074074076;0.4861111111111111;0.45601851851851855;0.47685185185185186;16.93644617380026;27.50324254215305;0.5132256416303109;0.5093193063361676;165262.74189364462;54935.88586251622;92.74003473268498;30.828218778067463
U1048C_𐒌;43;54;339;47;207;299;0.5978835978835979;0.08289241622574955;0.36507936507936506;0.527336860670194;17.68609865470852;28.39798206278027;0.41130461987694233;0.5258885567181532;206263.716367713;116934.1076233184;88.8301965407894;50.35921947601998
U1048D_𐒍;38;54;254;121;94;233;0.4951267056530214;0.23586744639376217;0.18323586744639375;0.45419103313840153;18.01994301994302;26.418803418803417;0.47420902684060584;0.48923710034821144;163488.8717948718;68853.7207977208;79.67293947118509;33.55444483319727
U1048E_𐒎;53;54;251;354;369;328;0.3575498575498576;0.5042735042735043;0.5256410256410257;0.4672364672364672;27.408602150537636;27.04147465437788;0.5171434368025969;0.500768049155146;326393.7603686636;268288.623655914;114.04394142860363;93.74165746188469
U1048F_𐒏;29;54;160;215;162;193;0.42328042328042326;0.5687830687830688;0.42857142857142855;0.5105820105820106;15.276712328767124;25.66986301369863;0.5267831837505905;0.4753678335870117;153825.43698630136;46764.10410958905;98.22824839482846;29.8621354467363
U10490_𐒐;46;54;225;180;159;320;0.36231884057971014;0.2898550724637681;0.2560386473429952;0.5152979066022544;20.600678733031675;27.32126696832579;0.4478408420224277;0.5059493883023295;223500.76018099545;154608.03959276018;89.97615144162458;62.24156183283421
U10491_𐒑;31;54;204;93;128;194;0.5037037037037037;0.22962962962962963;0.3160493827160494;0.47901234567901235;14.348949919224555;29.52827140549273;0.46286935223305015;0.5468198408424579;127812.25525040386;49196.6268174475;76.35140695962;29.388665960243426
U10492_𐒒;34;54;118;184;224;174;0.2570806100217865;0.4008714596949891;0.4880174291938998;0.3790849673202614;16.49;27.72714285714286;0.48499999999999993;0.5134656084656085;193812.8842857143;56598.92999999999;105.56257314036726;30.827303921568625
U10493_𐒓;57;54;403;71;164;335;0.533068783068783;0.09391534391534391;0.21693121693121692;0.44312169312169314;25.513874614594037;28.371017471736895;0.44761183534375504;0.5253892124395722;197171.06269270298;234061.06269270298;64.05817501387361;76.04323024454288
U10494_𐒔;35;54;203;202;202;162;0.4422657952069717;0.4400871459694989;0.4400871459694989;0.35294117647058826;15.963589076723016;27.51885565669701;0.45610254504922904;0.5096084380869816;176007.97659297788;75546.98049414824;93.12591354125814;39.971947351401184
U10495_𐒕;33;54;242;130;205;170;0.5601851851851852;0.30092592592592593;0.47453703703703703;0.39351851851851855;13.408299866131191;26.92503346720214;0.40631211715549065;0.4986117308741137;191023.80187416333;54814.468540829985;107.19629734801534;30.760083356245783
U10496_𐒖;33;54;157;134;97;223;0.36342592592592593;0.3101851851851852;0.22453703703703703;0.5162037037037037;18.04746317512275;27.456628477905074;0.5468928234885682;0.508456082924168;180663.60065466445;39077.623567921444;101.38249194986781;21.929081687946937
U10497_𐒗;24;54;166;0;188;142;0.5123456790123457;0.0;0.5802469135802469;0.4382716049382716;8.64516129032258;31.735887096774192;0.3602150537634408;0.5877016129032258;106948.40120967742;21449.548387096773;82.52191451363998;16.550577459179607
U10498_𐒘;29;54;199;217;103;180;0.5264550264550265;0.5740740740740741;0.2724867724867725;0.47619047619047616;14.878397711015737;22.696709585121603;0.5130481969315771;0.42030943676151117;144411.70243204577;47156.663805436336;92.2169236475388;30.112812136293957
U10499_𐒙;54;54;282;63;161;332;0.3868312757201646;0.08641975308641975;0.22085048010973937;0.4554183813443073;26.30071599045346;29.5;0.48705029611950856;0.5462962962962963;189605.5;157398.21957040572;65.0224622770919;53.97744155363708
U1049A_𐒚;32;54;23;222;187;206;0.05324074074074074;0.5138888888888888;0.43287037037037035;0.47685185185185186;19.095611285266457;27.365203761755485;0.5967378526645768;0.5067630326251016;143237.90752351098;56587.16771159874;82.89230759462441;32.747203536804825
U1049B_𐒛;31;54;196;134;85;199;0.4839506172839506;0.3308641975308642;0.20987654320987653;0.49135802469135803;14.851791530944626;22.627035830618894;0.4790900493853105;0.41901918204849803;127023.59120521172;48221.51302931596;75.88028148459482;28.806160710463537
U1049C_𐒜;45;54;171;169;259;322;0.2878787878787879;0.2845117845117845;0.43602693602693604;0.5420875420875421;19.270358306188925;31.154180238870794;0.4282301845819761;0.5769292636827925;216590.10640608036;159647.68078175897;89.13173103130879;65.69863406656748
U1049D_𐒝;69;54;317;92;317;361;0.3453159041394335;0.10021786492374728;0.3453159041394335;0.39324618736383443;32.62741490340387;30.851885924563017;0.4728610855565778;0.571331220825241;211385.15363385464;369976.10303587856;56.73246205954231;99.29578718085844
