x1;y1;x2;y2
2;13;21;44
26;13;46;44
62;13;80;44
82;13;102;44
121;13;127;44
133;13;147;44
150;13;169;44
174;13;202;44
205;13;225;44
230;13;251;44
254;13;274;44
278;13;299;44
3;75;23;106
26;75;68;106
73;75;101;106
103;75;145;106
150;75;170;106
176;75;197;106
200;75;219;106
223;75;242;106
247;75;274;106
279;75;298;106
303;75;323;106
340;75;368;106
371;75;390;106
395;75;416;106
419;75;439;106
444;75;464;106
1;121;2;136
